rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__eta,param_model__gamma,param_model__lambda,params,split0_test_score,split0_train_score
73,0.402910371674854,0.0,0.4119356847908833,0.0,288.0715708732605,0.0,0.9843673706054688,0.0,0.0001,100,1,"{'model__eta': 0.0001, 'model__gamma': 100, 'model__lambda': 1}",0.402910371674854,0.4119356847908833
77,0.40281768467883955,0.0,0.4119356847908833,0.0,295.42290925979614,0.0,1.1858305931091309,0.0,0.0001,100,0.1,"{'model__eta': 0.0001, 'model__gamma': 100, 'model__lambda': 0.1}",0.40281768467883955,0.4119356847908833
78,0.4024469366947817,0.0,0.40960575791829107,0.0,290.3983483314514,0.0,0.8317756652832031,0.0,0.001,100,0.1,"{'model__eta': 0.001, 'model__gamma': 100, 'model__lambda': 0.1}",0.4024469366947817,0.40960575791829107
78,0.4024469366947817,0.0,0.41717225310849154,0.0,290.26969170570374,0.0,1.8859572410583496,0.0,0.01,0,100,"{'model__eta': 0.01, 'model__gamma': 0, 'model__lambda': 100}",0.4024469366947817,0.41717225310849154
80,0.40235424969876726,0.0,0.40962882650118804,0.0,311.8180630207062,0.0,1.3254544734954834,0.0,0.001,100,0.0001,"{'model__eta': 0.001, 'model__gamma': 100, 'model__lambda': 0.0001}",0.40235424969876726,0.40962882650118804
80,0.40235424969876726,0.0,0.40962882650118804,0.0,314.2116618156433,0.0,1.0342342853546143,0.0,0.001,100,0.001,"{'model__eta': 0.001, 'model__gamma': 100, 'model__lambda': 0.001}",0.40235424969876726,0.40962882650118804
80,0.40235424969876726,0.0,0.40962882650118804,0.0,309.802453994751,0.0,0.90458083152771,0.0,0.001,100,0.01,"{'model__eta': 0.001, 'model__gamma': 100, 'model__lambda': 0.01}",0.40235424969876726,0.40962882650118804
83,0.4014273797386227,0.0,0.40949041500380634,0.0,291.3508002758026,0.0,0.8577070236206055,0.0,0.001,100,1,"{'model__eta': 0.001, 'model__gamma': 100, 'model__lambda': 1}",0.4014273797386227,0.40949041500380634
84,0.39920289183427565,0.0,0.41191261620798636,0.0,294.9182605743408,0.0,1.559828281402588,0.0,0.01,10,100,"{'model__eta': 0.01, 'model__gamma': 10, 'model__lambda': 100}",0.39920289183427565,0.41191261620798636
85,0.39846139586616,0.0,0.4151652863964567,0.0,297.5601954460144,0.0,0.7110977172851562,0.0,1,100,0.0001,"{'model__eta': 1, 'model__gamma': 100, 'model__lambda': 0.0001}",0.39846139586616,0.4151652863964567
86,0.3979052738900733,0.0,0.404784424092828,0.0,262.6874587535858,0.0,0.505648136138916,0.0,1,100,10,"{'model__eta': 1, 'model__gamma': 100, 'model__lambda': 10}",0.3979052738900733,0.404784424092828
