rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__leaf_size,param_model__n_neighbors,param_model__p,params,split0_test_score,split0_train_score
33,0.3679673741774029,0.0,0.4762278253246903,0.0,2.671854257583618,0.0,44.5538444519043,0.0,50,11,1,"{'model__leaf_size': 50, 'model__n_neighbors': 11, 'model__p': 1}",0.3679673741774029,0.4762278253246903
33,0.3679673741774029,0.0,0.4762278253246903,0.0,3.256291627883911,0.0,40.168572664260864,0.0,80,11,1,"{'model__leaf_size': 80, 'model__n_neighbors': 11, 'model__p': 1}",0.3679673741774029,0.4762278253246903
36,0.36778200018537394,0.0,0.4762278253246903,0.0,2.9949867725372314,0.0,33.54827928543091,0.0,30,11,1,"{'model__leaf_size': 30, 'model__n_neighbors': 11, 'model__p': 1}",0.36778200018537394,0.4762278253246903
37,0.3611085364723329,0.0,0.4653855913631225,0.0,3.290200710296631,0.0,22.081945180892944,0.0,20,11,2,"{'model__leaf_size': 20, 'model__n_neighbors': 11, 'model__p': 2}",0.3611085364723329,0.4653855913631225
37,0.3611085364723329,0.0,0.46543172852891646,0.0,2.921187400817871,0.0,24.957254648208618,0.0,30,11,2,"{'model__leaf_size': 30, 'model__n_neighbors': 11, 'model__p': 2}",0.3611085364723329,0.46543172852891646
37,0.3611085364723329,0.0,0.46540865994601954,0.0,3.7868709564208984,0.0,29.521048307418823,0.0,50,11,2,"{'model__leaf_size': 50, 'model__n_neighbors': 11, 'model__p': 2}",0.3611085364723329,0.46540865994601954
37,0.3611085364723329,0.0,0.46540865994601954,0.0,3.352034568786621,0.0,28.03701686859131,0.0,80,11,2,"{'model__leaf_size': 80, 'model__n_neighbors': 11, 'model__p': 2}",0.3611085364723329,0.46540865994601954
41,0.356288812679581,0.0,0.48974601490230457,0.0,7.351339101791382,0.0,30.070578575134277,0.0,20,9,1,"{'model__leaf_size': 20, 'model__n_neighbors': 9, 'model__p': 1}",0.356288812679581,0.48974601490230457
41,0.356288812679581,0.0,0.48979215206809845,0.0,3.307154417037964,0.0,34.58650040626526,0.0,30,9,1,"{'model__leaf_size': 30, 'model__n_neighbors': 9, 'model__p': 1}",0.356288812679581,0.48979215206809845
41,0.356288812679581,0.0,0.48979215206809845,0.0,3.929490089416504,0.0,37.09379601478577,0.0,50,9,1,"{'model__leaf_size': 50, 'model__n_neighbors': 9, 'model__p': 1}",0.356288812679581,0.48979215206809845
41,0.356288812679581,0.0,0.48979215206809845,0.0,3.106691360473633,0.0,39.24504089355469,0.0,80,9,1,"{'model__leaf_size': 80, 'model__n_neighbors': 9, 'model__p': 1}",0.356288812679581,0.48979215206809845
45,0.35397163777921964,0.0,0.47846547786569477,0.0,6.620297908782959,0.0,21.857540607452393,0.0,20,9,2,"{'model__leaf_size': 20, 'model__n_neighbors': 9, 'model__p': 2}",0.35397163777921964,0.47846547786569477
45,0.35397163777921964,0.0,0.4784885464485917,0.0,4.326429843902588,0.0,23.062320470809937,0.0,30,9,2,"{'model__leaf_size': 30, 'model__n_neighbors': 9, 'model__p': 2}",0.35397163777921964,0.4784885464485917
45,0.35397163777921964,0.0,0.4784885464485917,0.0,4.225698947906494,0.0,25.04601526260376,0.0,50,9,2,"{'model__leaf_size': 50, 'model__n_neighbors': 9, 'model__p': 2}",0.35397163777921964,0.4784885464485917
45,0.35397163777921964,0.0,0.4784885464485917,0.0,3.2852141857147217,0.0,25.608510732650757,0.0,80,9,2,"{'model__leaf_size': 80, 'model__n_neighbors': 9, 'model__p': 2}",0.35397163777921964,0.4784885464485917
49,0.351839836870887,0.0,0.5115227571570279,0.0,7.68345046043396,0.0,26.469211101531982,0.0,20,7,1,"{'model__leaf_size': 20, 'model__n_neighbors': 7, 'model__p': 1}",0.351839836870887,0.5115227571570279
49,0.351839836870887,0.0,0.5115919629057187,0.0,3.047846555709839,0.0,28.65935444831848,0.0,30,7,1,"{'model__leaf_size': 30, 'model__n_neighbors': 7, 'model__p': 1}",0.351839836870887,0.5115919629057187
49,0.351839836870887,0.0,0.5116381000715126,0.0,2.7865474224090576,0.0,39.50933623313904,0.0,50,7,1,"{'model__leaf_size': 50, 'model__n_neighbors': 7, 'model__p': 1}",0.351839836870887,0.5116381000715126
49,0.351839836870887,0.0,0.5116381000715126,0.0,3.159548759460449,0.0,36.78561782836914,0.0,80,7,1,"{'model__leaf_size': 80, 'model__n_neighbors': 7, 'model__p': 1}",0.351839836870887,0.5116381000715126
